date, pm25, pm10, o3, no2, so2, co
2021/9/2, 35, 27, 34, 21, , 2
2021/9/3, 56, 40, 35, 26, , 5
2021/9/4, 70, 43, 50, 22, , 5
2021/9/5, 85, 33, 47, 17, , 5
2021/9/6, 72, 30, 42, 12, , 3
2021/9/7, 70, 20, 35, 7, , 1
2021/9/8, 53, 50, 35, 23, , 4
2021/9/9, 83, , , , , 
2021/8/2, 50, 34, 22, 20, , 2
2021/8/3, 72, 16, 16, 13, , 1
2021/8/4, 41, 17, 21, 12, , 1
2021/8/5, 43, 22, 18, 14, , 1
2021/8/6, 47, 26, 18, 16, , 2
2021/8/7, 57, 32, 21, 16, , 2
2021/8/8, 76, 33, 30, 15, , 3
2021/8/9, 73, 43, 25, 28, , 6
2021/8/10, 81, 62, 32, 37, , 8
2021/8/11, 111, 36, 19, 18, , 5
2021/8/12, 64, 7, 12, 11, , 1
2021/8/13, 24, 11, 12, 14, , 2
2021/8/14, 31, 21, 20, 13, , 1
2021/8/15, 50, 27, 31, 11, , 2
2021/8/16, 65, 34, 14, 20, , 3
2021/8/17, 73, 45, 31, 36, , 7
2021/8/18, 80, 65, 53, 37, , 8
2021/8/19, 114, 53, 39, 32, , 6
2021/8/20, 98, 54, 43, 32, , 6
2021/8/21, 93, 68, 56, 33, , 9
2021/8/22, 114, 58, 39, 22, , 5
2021/8/23, 109, 65, 37, 35, , 7
2021/8/24, 115, 75, 35, 39, , 7
2021/8/25, 124, 76, 40, 39, , 8
2021/8/26, 123, 65, 45, 25, , 4
2021/8/27, 108, 12, 19, 10, , 1
2021/8/28, 32, 8, 15, 12, , 2
2021/8/29, 31, 7, 20, 8, , 1
2021/8/30, 23, 10, 18, 9, , 1
2021/8/31, 18, 12, 19, 9, , 1
2021/9/1, 32, 17, 23, 13, , 1
2021/7/2, 42, 37, 14, 26, , 5
2021/7/3, 68, 53, 31, 23, , 7
2021/7/4, 96, 20, 25, 7, , 1
2021/7/5, 50, 22, 20, 13, , 1
2021/7/6, 48, 22, 18, 15, , 1
2021/7/7, 45, 19, 17, 16, , 2
2021/7/8, 44, 30, 19, 19, , 2
2021/7/9, 56, 30, 26, 15, , 1
2021/7/10, 64, 46, 31, 25, , 5
2021/7/11, 90, 60, 38, 22, , 7
2021/7/12, 113, 50, 24, 28, , 5
2021/7/13, 92, 48, 24, 28, , 6
2021/7/14, 84, 61, 25, 35, , 9
2021/7/15, 108, 63, 25, 35, , 9
2021/7/16, 99, 40, 23, 18, , 3
2021/7/17, 71, 19, 16, 18, , 3
2021/7/18, 46, 21, 25, 11, , 2
2021/7/19, 48, 15, 14, 14, , 1
2021/7/20, 29, 39, 20, 20, , 3
2021/7/21, 68, 45, 18, 29, , 4
2021/7/22, 78, 49, 22, 24, , 4
2021/7/23, 86, 47, 28, 27, , 4
2021/7/24, 89, 57, 32, 29, , 8
2021/7/25, 108, 64, 32, 23, , 8
2021/7/26, 102, 61, 27, 30, , 8
2021/7/27, 103, 58, 29, 20, , 3
2021/7/28, 73, 9, 14, 12, , 1
2021/7/29, 26, 19, 15, 12, , 1
2021/7/30, 37, 24, 18, 15, , 1
2021/7/31, 45, 19, 19, 11, , 1
2021/8/1, 40, 22, 22, 9, , 1
2021/6/2, 57, 39, 20, 30, , 7
2021/6/3, 84, 52, 31, 28, , 8
2021/6/4, 104, 33, 28, 20, , 3
2021/6/5, 68, 35, 23, 17, , 5
2021/6/6, 70, 40, 32, 14, , 5
2021/6/7, 75, 21, 15, 12, , 1
2021/6/8, 61, 11, 11, 13, , 2
2021/6/9, 33, 23, 13, 16, , 2
2021/6/10, 52, 28, 9, 18, , 3
2021/6/11, 67, 17, 6, 15, , 2
2021/6/12, 44, 24, 17, 15, , 4
2021/6/13, 56, 14, 23, 7, , 1
2021/6/14, 34, 20, 14, 14, , 2
2021/6/15, 42, 30, 20, 17, , 3
2021/6/16, 60, 16, 17, 10, , 1
2021/6/17, 38, 13, 15, 13, , 1
2021/6/18, 35, 26, 15, 16, , 2
2021/6/19, 59, 27, 12, 14, , 3
2021/6/20, 58, 28, 20, 10, , 4
2021/6/21, 62, 19, 16, 13, , 2
2021/6/22, 42, 17, 9, 18, , 2
2021/6/23, 48, 10, 13, 11, , 1
2021/6/24, 26, 26, 14, 20, , 5
2021/6/25, 52, 48, 13, 29, , 7
2021/6/26, 93, 46, 26, 22, , 5
2021/6/27, 87, 38, 28, 16, , 5
2021/6/28, 77, 37, 25, 19, , 5
2021/6/29, 66, 14, 10, 13, , 2
2021/6/30, 35, 23, 13, 16, , 1
2021/7/1, 42, 20, 15, 15, , 1
2021/5/2, 36, 21, 26, 8, , 1
2021/5/3, 53, 34, 31, 8, , 1
2021/5/4, 74, 39, 26, 24, , 4
2021/5/5, 73, 54, 29, 32, , 6
2021/5/6, 100, 51, 34, 27, , 4
2021/5/7, 99, 8, 15, 8, , 1
2021/5/8, 18, 12, 13, 8, , 1
2021/5/9, 25, 13, 23, 6, , 1
2021/5/10, 34, 21, 19, 14, , 1
2021/5/11, 44, 36, 21, 21, , 3
2021/5/12, 70, 20, 9, 13, , 1
2021/5/13, 44, 13, 12, 11, , 1
2021/5/14, 25, 14, 13, 11, , 1
2021/5/15, 34, 21, 14, 12, , 1
2021/5/16, 50, 22, 28, 8, , 1
2021/5/17, 60, 35, 16, 22, , 3
2021/5/18, 72, 18, 16, 13, , 1
2021/5/19, 50, 29, 22, 23, , 3
2021/5/20, 68, 52, 31, 32, , 8
2021/5/21, 96, 50, 23, 34, , 6
2021/5/22, 100, 36, 11, 20, , 5
2021/5/23, 70, 13, 15, 7, , 1
2021/5/24, 34, 18, 16, 15, , 3
2021/5/25, 32, 53, 21, 37, , 7
2021/5/26, 91, 52, 22, 32, , 6
2021/5/27, 97, 48, 16, 32, , 8
2021/5/28, 98, 54, 19, 27, , 7
2021/5/29, 93, 34, 21, 13, , 4
2021/5/30, 57, 27, 14, 13, , 3
2021/5/31, 59, 16, 7, 15, , 3
2021/6/1, 42, 25, 16, 22, , 3
2021/4/9, 40, , 19, 8, , 1
2021/4/13, 47, 13, 26, 15, , 2
2021/4/14, 25, 17, 14, 8, , 1
2021/4/15, 27, 19, 17, 8, , 1
2021/4/16, 37, 36, 21, 9, , 1
2021/4/17, 62, 28, 25, 18, , 2
2021/4/18, 62, 8, 26, 13, , 2
2021/4/19, 31, 8, 24, 8, , 1
2021/4/20, 17, 11, 12, 6, , 1
2021/4/21, 21, 8, 11, 8, , 1
2021/4/22, 23, 14, 13, 6, , 1
