date, pm25, pm10, o3, no2, so2, co
2021/9/2, 36, 25, 27, 15, , 3
2021/9/3, 56, 36, 35, 24, , 5
2021/9/4, 65, 39, 41, 17, 1, 5
2021/9/5, 83, 17, 27, 6, , 1
2021/9/6, 48, 26, 30, 9, , 2
2021/9/7, 63, 19, 27, 4, , 1
2021/9/8, 50, 33, 17, 9, , 2
2021/9/9, 69, , , , , 
2021/8/2, 55, 32, , 15, 1, 3
2021/8/3, 65, 15, , 8, , 1
2021/8/4, 80, 16, , 8, , 1
2021/8/5, 38, 20, , 10, , 1
2021/8/6, 45, 25, , 12, , 2
2021/8/7, 60, 28, , 12, 1, 3
2021/8/8, 64, 32, , 12, 1, 4
2021/8/9, 78, 34, , 22, 1, 5
2021/8/10, 68, 46, , 33, , 10
2021/8/11, 85, 31, , 15, , 5
2021/8/12, 60, 8, 14, 8, , 1
2021/8/13, 14, 10, 13, 10, , 2
2021/8/14, 25, 19, 18, 9, , 1
2021/8/15, 43, 24, 26, 9, , 2
2021/8/16, 61, 29, 16, 16, 1, 3
2021/8/17, 64, 39, 33, 27, , 8
2021/8/18, 74, 51, 45, 29, , 8
2021/8/19, 100, 49, 37, 31, 1, 7
2021/8/20, 99, 47, 42, 28, , 6
2021/8/21, 82, 58, 45, 30, 1, 11
2021/8/22, 116, 51, 36, 20, 1, 7
2021/8/23, 101, 57, 37, 27, 1, 6
2021/8/24, 109, 62, 35, 31, 1, 9
2021/8/25, 116, 65, 36, 34, 1, 7
2021/8/26, 117, 58, 38, 21, , 5
2021/8/27, 105, 11, 19, 5, , 1
2021/8/28, 18, 11, 17, 8, , 2
2021/8/29, 24, 10, 20, 4, , 1
2021/8/30, 32, 9, 17, 7, , 1
2021/8/31, 26, 16, 17, 7, , 1
2021/9/1, 36, 19, 20, 9, , 2
2021/7/2, 39, 33, 17, 21, 2, 9
2021/7/3, 63, 40, 31, 17, 2, 9
2021/7/4, 80, 24, 23, 5, , 1
2021/7/5, 52, 21, 19, 10, 1, 2
2021/7/6, 49, 18, 18, 10, , 2
2021/7/7, 47, 24, 19, 12, 1, 2
2021/7/8, 44, 22, 21, 12, 1, 2
2021/7/9, 56, 30, 23, 10, 1, 2
2021/7/10, 65, 38, 32, 18, 2, 6
2021/7/11, 83, 48, 34, 17, 2, 7
2021/7/12, 104, 41, 26, 21, 2, 5
2021/7/13, 94, 43, 24, 22, 2, 5
2021/7/14, 81, 49, 24, 28, 3, 11
2021/7/15, 84, 59, 22, 30, 4, 16
2021/7/16, 98, 34, 20, 13, 2, 5
2021/7/17, 66, 22, 19, 17, 1, 6
2021/7/18, 51, 25, 24, 10, 1, 6
2021/7/19, 51, 13, 18, 11, , 1
2021/7/20, 27, 32, 18, 15, 2, 3
2021/7/21, 56, 39, 41, 23, 3, 6
2021/7/22, 80, 36, 23, 15, 1, 3
2021/7/23, 72, 43, 25, 16, 2, 4
2021/7/24, 85, 48, 29, 21, 2, 8
2021/7/25, 101, 42, 28, 21, 2, 11
2021/7/26, 89, 51, 24, 26, 2, 12
2021/7/27, 87, 52, 24, 22, 2, 7
2021/7/28, 70, 8, 16, 12, 2, 6
2021/7/29, 27, 16, , 10, 5, 1
2021/7/30, 32, 21, , 13, 1, 2
2021/7/31, 43, 19, , 10, , 1
2021/8/1, 39, 22, , 8, , 1
2021/6/2, 59, 36, 21, 24, 2, 9
2021/6/3, 82, 47, 35, 24, 3, 13
2021/6/4, 105, 34, 28, 14, 1, 4
2021/6/5, 71, 31, 13, 11, 1, 3
2021/6/6, 67, 34, 23, 12, 1, 4
2021/6/7, 68, 19, 17, 8, , 2
2021/6/8, 45, 10, 15, 8, , 2
2021/6/9, 20, 21, 14, 12, , 2
2021/6/10, 44, 29, 9, 16, 1, 5
2021/6/11, 63, 18, 8, 13, , 3
2021/6/12, 44, 23, 19, 10, 1, 3
2021/6/13, 52, 13, 19, 5, , 1
